timeSec,trackE,trackF,trackG,A_mode,A_rg,A_az,A_el,B_mode,B_rg,B_az,B_el,C_mode,C_rg,C_az,Cel
1.420,3135932.66538245,-5444043.99611514,1108905.92340596,28,30071.0,0.141805569985974,9.98927207144743,1004,30071.0,141.944669050904,0.026286679401676,1004,30071.0,-0.000244510487437,1.97736087110387
1.440,3135931.85602226,-5444034.26207938,1109048.70686884,28,30072.0,0.015620704472781,9.97007750893845,1004,30072.0,144.006780389968,0.008030546636092,1004,30072.0,-0.001554100493676,1.99436891688377
1.460,3135933.41764523,-5444023.79363202,1109193.32454392,28,30073.0,0.340320611526321,10.0099666255251,1004,30073.0,145.743868905395,0.050673486818374,1004,30073.0,0.001599357224678,1.95119020811938
1.480,3135932.58238748,-5444013.86388435,1109340.26672316,28,30074.0,0.157077353009976,9.99966130234999,1004,30074.0,147.880377305452,0.019530557072009,1004,30074.0,-0.000112935610336,1.98266021798885
1.500,3135933.22492606,-5444004.32327079,1109488.97714824,28,30075.0,0.273462722372379,9.97531564508231,1004,30075.0,149.777883341958,0.032807280620693,1004,30075.0,-0.000244528958283,1.96887941167829
1.520,3135933.4861996,-5443993.47132525,1109640.56967471,28,30076.0,0.208251318648645,10.0188621263985,1004,30076.0,151.902068204599,0.015264191367662,1004,30076.0,0.000110946059775,1.98931277931761
1.540,3135934.01551594,-5443984.32304921,1109793.42858891,28,30077.0,0.273891204491857,9.97114133528257,1004,30077.0,153.850816020877,0.021808488784742,1004,30077.0,-0.00095164404998,1.98256054157871
1.560,3135933.14303483,-5443974.24134315,1109948.78480335,28,30078.0,0.036468261941136,9.96620552122664,1004,30078.0,156.072412519984,-0.014857976632645,1004,30078.0,-0.00277533144307,2.02094534336789
1.580,3135933.0060927,-5443964.20725567,1110105.91740144,28,30079.0,-0.012169038889934,9.96594250695626,1004,30079.0,158.123070551546,-0.019543821759423,1004,30079.0,-0.002926253551926,2.02581805516657
1.600,3135932.63004783,-5443953.9240051,1110264.21311817,28,30080.0,0.017293205080243,9.9855668477239,1004,30080.0,160.033699854104,-0.008101067832225,1004,30080.0,-0.001689803846676,2.0119047639757
1.620,3135932.46701099,-5443944.51839473,1110425.33834411,28,30081.0,-0.036460512605672,9.95226824399313,1004,30081.0,162.087723982,-0.014752974538706,1004,30081.0,-0.002805908269939,2.0188397640327
1.640,3135933.31269043,-5443934.35223878,1110588.65428549,28,30082.0,0.072681881686463,9.96333892486651,1004,30082.0,164.031911920311,0.000481998299527,1004,30082.0,-0.001789762590769,2.00391142376651
1.660,3135933.58041996,-5443923.95999243,1110754.04325083,28,30083.0,0.061773421402311,9.98094951448282,1004,30083.0,166.077137603392,-0.003043786059282,1004,30083.0,-0.001564853287357,2.00842163298687
